date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:42:47	109879/109879	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Dec%202018%2010:35:40%20GMT	http://www.sympulsefest.com/img/portfolio/Sprint%202.jpg	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/img/portfolio/Sprint%202.jpg	(from http://www.sympulsefest.com/)
00:42:48	19201/19201	---M--	200	added ('OK')	application/javascript	date:Fri,%2028%20Sep%202018%2011:10:14%20GMT	http://www.sympulsefest.com/js/smoothscroll.js	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/js/smoothscroll.js	(from http://www.sympulsefest.com/)
00:42:51	23890/23890	---M--	200	added ('OK')	application/javascript	date:Fri,%2028%20Sep%202018%2011:10:11%20GMT	http://www.sympulsefest.com/js/owl.carousel.min.js	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/js/owl.carousel.min.js	(from http://www.sympulsefest.com/)
00:42:55	49703/49703	---M--	200	added ('OK')	application/javascript	date:Fri,%2028%20Sep%202018%2011:10:13%20GMT	http://www.sympulsefest.com/js/plagins.js	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/js/plagins.js	(from http://www.sympulsefest.com/)
00:42:55	39978/39978	---M--	200	added ('OK')	application/javascript	date:Fri,%2028%20Sep%202018%2011:10:03%20GMT	http://www.sympulsefest.com/js/isotope.pkgd.min.js	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/js/isotope.pkgd.min.js	(from http://www.sympulsefest.com/)
00:42:55	25228/25228	---M--	200	added ('OK')	application/javascript	date:Fri,%2028%20Sep%202018%2011:10:01%20GMT	http://www.sympulsefest.com/js/gmap3.min.js	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/js/gmap3.min.js	(from http://www.sympulsefest.com/)
00:42:56	3220/3220	---M--	200	added ('OK')	application/javascript	date:Fri,%2028%20Sep%202018%2011:10:05%20GMT	http://www.sympulsefest.com/js/jquery.fitvids.js	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/js/jquery.fitvids.js	(from http://www.sympulsefest.com/)
00:42:56	84320/84320	---M--	200	added ('OK')	application/javascript	date:Fri,%2028%20Sep%202018%2011:10:18%20GMT	http://www.sympulsefest.com/js/vendor/jquery-2.1.3.min.js	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/js/vendor/jquery-2.1.3.min.js	(from http://www.sympulsefest.com/)
00:42:57	3116/3116	---M--	200	added ('OK')	application/javascript	date:Fri,%2028%20Sep%202018%2011:10:03%20GMT	http://www.sympulsefest.com/js/jquery.ajaxchimp.min.js	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/js/jquery.ajaxchimp.min.js	(from http://www.sympulsefest.com/)
00:42:57	2692/2692	---M--	200	added ('OK')	application/javascript	date:Fri,%2028%20Sep%202018%2011:10:00%20GMT	http://www.sympulsefest.com/js/contact-form.js	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/js/contact-form.js	(from http://www.sympulsefest.com/)
00:42:57	1066/1066	---M--	200	added ('OK')	application/javascript	date:Fri,%2028%20Sep%202018%2011:10:15%20GMT	http://www.sympulsefest.com/js/style.changer.js	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/js/style.changer.js	(from http://www.sympulsefest.com/)
00:42:57	214/214	---M--	302	error ('Found')	text/html	date:Fri,%2015%20Feb%202019%2019:12:58%20GMT	http://www.sympulsefest.com/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/fonts/glyphicons-halflings-regular.eot	(from http://www.sympulsefest.com/css/bootstrap.min.css)
00:42:58	21143/21143	---M--	200	added ('OK')	application/javascript	date:Fri,%2028%20Sep%202018%2011:10:06%20GMT	http://www.sympulsefest.com/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/js/jquery.magnific-popup.min.js	(from http://www.sympulsefest.com/)
00:42:58	214/214	---M--	302	error ('Found')	text/html	date:Fri,%2015%20Feb%202019%2019:12:59%20GMT	http://www.sympulsefest.com/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/fonts/glyphicons-halflings-regulard41d.eot	(from http://www.sympulsefest.com/css/bootstrap.min.css)
00:42:58	18857/18857	---M--	200	added ('OK')	application/javascript	date:Fri,%2028%20Sep%202018%2011:10:09%20GMT	http://www.sympulsefest.com/js/main.js	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/js/main.js	(from http://www.sympulsefest.com/)
00:42:58	6952/6952	---M--	200	added ('OK')	application/javascript	date:Fri,%2028%20Sep%202018%2011:10:08%20GMT	http://www.sympulsefest.com/js/jquery.particleground.min.js	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/js/jquery.particleground.min.js	(from http://www.sympulsefest.com/)
00:42:58	214/214	---M--	302	error ('Found')	text/html	date:Fri,%2015%20Feb%202019%2019:12:59%20GMT	http://www.sympulsefest.com/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/fonts/glyphicons-halflings-regular.woff2	(from http://www.sympulsefest.com/css/bootstrap.min.css)
00:42:58	214/214	---M--	302	error ('Found')	text/html	date:Fri,%2015%20Feb%202019%2019:12:59%20GMT	http://www.sympulsefest.com/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/fonts/glyphicons-halflings-regular.woff	(from http://www.sympulsefest.com/css/bootstrap.min.css)
00:42:58	214/214	---M--	302	error ('Found')	text/html	date:Fri,%2015%20Feb%202019%2019:12:59%20GMT	http://www.sympulsefest.com/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/impulse2019/www.sympulsefest.com/fonts/glyphicons-halflings-regular.ttf	(from http://www.sympulsefest.com/css/bootstrap.min.css)
